id,gender,customer type,age,type of travel,class,flight distance,inflight wifi service,departure/arrival time convenient,ease of online booking,gate location,food and drink,online boarding,seat comfort,inflight entertainment,on-board service,leg room service,baggage handling,checkin service,inflight service,cleanliness,departure delay in minutes,arrival delay in minutes,satisfaction,age group,delay category,service score
70172,male,loyal customer,13,personal travel,eco plus,460,3,4,3,1,5,3,5,5,4,3,4,4,5,5,25,18.0,neutral or dissatisfied,under 18,16-30,4.083333333333333
5047,male,disloyal customer,25,business travel,business,235,3,2,3,3,1,3,1,1,1,5,3,1,4,1,1,6.0,neutral or dissatisfied,18-30,1-15,2.25
110028,female,loyal customer,26,business travel,business,1142,2,2,2,2,5,5,5,5,4,3,4,4,4,5,0,0.0,satisfied,18-30,no delay,4.0
24026,female,loyal customer,25,business travel,business,562,2,5,5,5,2,2,2,2,2,5,3,1,4,2,11,9.0,neutral or dissatisfied,18-30,1-15,2.6666666666666665
119299,male,loyal customer,61,business travel,business,214,3,3,3,3,4,5,5,3,3,4,4,3,3,3,0,0.0,satisfied,60+,no delay,3.5833333333333335
111157,female,loyal customer,26,personal travel,eco,1180,3,4,2,1,1,2,1,1,3,4,4,4,4,1,0,0.0,neutral or dissatisfied,18-30,no delay,2.5
82113,male,loyal customer,47,personal travel,eco,1276,2,4,2,3,2,2,2,2,3,3,4,3,5,2,9,23.0,neutral or dissatisfied,46-60,1-15,2.6666666666666665
96462,female,loyal customer,52,business travel,business,2035,4,3,4,4,5,5,5,5,5,5,5,4,5,4,4,0.0,satisfied,46-60,1-15,4.666666666666667
79485,female,loyal customer,41,business travel,business,853,1,2,2,2,4,3,3,1,1,2,1,4,1,2,0,0.0,neutral or dissatisfied,31-45,no delay,2.0833333333333335
65725,male,disloyal customer,20,business travel,eco,1061,3,3,3,4,2,3,3,2,2,3,4,4,3,2,0,0.0,neutral or dissatisfied,18-30,no delay,2.8333333333333335
34991,female,disloyal customer,24,business travel,eco,1182,4,5,5,4,2,5,2,2,3,3,5,3,5,2,0,0.0,neutral or dissatisfied,18-30,no delay,3.4166666666666665
51412,female,loyal customer,12,personal travel,eco plus,308,2,4,2,2,1,2,1,1,1,2,5,5,5,1,0,0.0,neutral or dissatisfied,under 18,no delay,2.3333333333333335
98628,male,loyal customer,53,business travel,eco,834,1,4,4,4,1,1,1,1,1,1,3,4,4,1,28,8.0,neutral or dissatisfied,46-60,16-30,1.9166666666666667
83502,male,loyal customer,33,personal travel,eco,946,4,2,4,3,4,4,4,4,4,5,2,2,2,4,0,0.0,satisfied,31-45,no delay,3.5833333333333335
